,word,read,hinshi,score
383,壮語,そうご,名詞,1
384,麗姿,れいし,名詞,1
385,名医,めいい,名詞,1
386,美質,びしつ,名詞,1
387,援兵,えんぺい,名詞,1
388,表彰,ひょうしょう,名詞,1
389,意気込む,いきごむ,動詞,1
390,メリット,メリット,名詞,1
391,愛す,あいす,動詞,1
392,神佑,しんゆう,名詞,1
393,鬼才,きさい,名詞,1
394,見目好い,みめよい,形容詞,1
395,多聞天,たもんてん,名詞,1
396,有難涙,ありがたなみだ,名詞,1
397,名馬,めいば,名詞,1
398,賛美,さんび,名詞,1
399,徳化,とっか,名詞,1
400,英略,えいりゃく,名詞,1
401,崇高,すうこう,名詞,1
402,聡,そう,名詞,1
403,驥足,きそく,名詞,1
404,景勝,けいしょう,名詞,1
405,曼陀羅華,まんだらげ,名詞,1
406,才人,さいじん,名詞,1
407,嬉し涙,うれしなみだ,名詞,1
408,俊,しゅん,名詞,1
409,祝する,しゅくする,動詞,1
410,善政,ぜんせい,名詞,1
411,承引,しょういん,名詞,1
412,ブーム,ブーム,名詞,1
413,恵む,めぐむ,動詞,1
414,佳什,かじゅう,名詞,1
415,風伯,ふうはく,名詞,1
416,相応しい,ふさわしい,形容詞,1
417,手ばしこい,てばしこい,形容詞,1
418,菩薩,ぼさつ,名詞,1
419,見好い,みよい,形容詞,1
420,最適,さいてき,名詞,1
421,褒めそやす,ほめそやす,動詞,1
422,治する,じする,動詞,1
423,耆宿,きしゅく,名詞,1
424,名案,めいあん,名詞,1
425,気楽,きらく,名詞,1
426,寛恕,かんじょ,名詞,1
427,力添え,ちからぞえ,名詞,1
428,御膳蕎麦,ごぜんそば,名詞,1
429,得難い,えがたい,形容詞,1
430,慶祝,けいしゅく,名詞,1
431,仏,ほとけ,名詞,1
432,賀宴,がえん,名詞,1
433,大知,たいち,名詞,1
434,上等,じょうとう,名詞,1
435,思う存分,おもうぞんぶん,副詞,1
436,名君,めいくん,名詞,1
437,幸,さち,名詞,1
438,神品,しんぴん,名詞,1
439,頼もしい,たのもしい,形容詞,1
440,絶佳,ぜっか,名詞,1
441,美味しい,おいしい,形容詞,1
442,晴晴,はればれ,名詞,1
443,逞しい,たくましい,形容詞,1
444,大慶,たいけい,名詞,1
445,逸物,いちもつ,名詞,1
446,尊い,たっとい,形容詞,1
447,一興,いっきょう,名詞,1
448,簡捷,かんしょう,名詞,1
449,生き生き,いきいき,名詞,1
450,気保養,きほよう,名詞,1
451,甲斐性,かいしょう,名詞,1
452,名剣,めいけん,名詞,1
453,奇才,きさい,名詞,1
454,だらし,だらし,名詞,1
455,うってつけ,うってつけ,名詞,1
456,福音,ふくいん,名詞,1
457,遺志,いし,名詞,1
458,聖賢,せいけん,名詞,1
459,礼賛,らいさん,名詞,1
460,慣れる,なれる,動詞,1
461,優等,ゆうとう,名詞,1
462,勝地,しょうち,名詞,1
463,盛名,せいめい,名詞,1
464,淑,しゅく,名詞,1
465,若返る,わかがえる,動詞,1
466,レリーフ,レリーフ,名詞,1
467,賞翫,しょうがん,名詞,1
468,高庇,こうひ,名詞,1
469,快哉,かいさい,名詞,1
470,インテリ,インテリ,名詞,1
471,評判,ひょうばん,名詞,1
472,ベター,ベターハーフ,名詞,1
473,剣客,けんかく,名詞,1
474,勇む,いさむ,動詞,1
475,金剛力,こんごうりき,名詞,1
476,吉相,きっそう,名詞,1
477,美点,びてん,名詞,1
478,名識,めいしき,名詞,1
479,絶景,ぜっけい,名詞,1
480,壮,そう,名詞,1
481,名香,めいこう,名詞,1
482,怪腕,かいわん,名詞,1
483,佳節,かせつ,名詞,1
484,偉効,いこう,名詞,1
485,偉業,いぎょう,名詞,1
486,俊英,しゅんえい,名詞,1
487,助ける,すける,動詞,1
488,効能,こうのう,名詞,1
489,英名,えいめい,名詞,1
490,やって退ける,やってのける,動詞,1
491,英傑,えいけつ,名詞,1
492,卓効,たっこう,名詞,1
493,剛直,ごうちょく,名詞,1
494,勧奨,かんしょう,名詞,1
495,好敵手,こうてきしゅ,名詞,1
496,奮い起す,ふるいおこす,動詞,1
497,俳聖,はいせい,名詞,1
498,冥加,みょうが,名詞,1
499,尤物,ゆうぶつ,名詞,1
500,画聖,がせい,名詞,1
501,厚情,こうじょう,名詞,1
502,前賢,ぜんけん,名詞,1
503,曠世,こうせい,名詞,1
504,仁徳,じんとく,名詞,1
505,嘉例,かれい,名詞,1
506,幸運児,こううんじ,名詞,1
507,すすどい,すすどい,形容詞,1
508,大国,たいこく,名詞,1
509,正,しょう,名詞,1
510,誉,よ,名詞,1
511,殷盛,いんせい,名詞,1
512,値頃,ねごろ,名詞,1
513,駿足,しゅんそく,名詞,1
514,尊い,とうとい,形容詞,1
515,鋭利,えいり,名詞,1
516,嘆美,たんび,名詞,1
517,天佑,てんゆう,名詞,1
518,与し易い,くみしやすい,形容詞,1
519,壮健,そうけん,名詞,1
520,奨金,しょうきん,名詞,1
521,上根,じょうこん,名詞,1
522,快楽,けらく,名詞,1
523,名家,めいか,名詞,1
524,選りすぐる,えりすぐる,動詞,1
525,うら若い,うらわかい,形容詞,1
526,改める,あらためる,動詞,1
527,芳名,ほうめい,名詞,1
528,英雄,えいゆう,名詞,1
529,好一対,こういっつい,名詞,1
530,日本一,にほんいち,名詞,1
531,嘉納,かのう,名詞,1
532,聖,ひじり,名詞,1
533,賀正,がしょう,名詞,1
534,声誉,せいよ,名詞,1
